stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,otherOperatingExpenses,minorityInterest,discontinuedOperations
GDYN,2018-12-31,9228000.0,9228000.0,-3254000,51533000,75528000,91865000,3855000,,16337000,16337000,40332000,21732000.0,9228000,13083000.0,2263000.0,,,
GDYN,2017-12-31,7682000.0,13184000.0,-1874000,39935000,55702000,70684000,-76000,,14982000,14982000,30749000,14055000.0,13184000,13108000.0,1712000.0,,,
ARA,2019-12-31,-21789000.0,26145000.0,-74360000,568017000,739855000,822522000,-17838000,-43587000.0,82667000,82667000,254505000,133243000.0,-13790000,8307000.0,,,290472000.0,
ARA,2018-12-31,-31333000.0,22467000.0,-69501000,559231000,710912000,805776000,2896000,-32632000.0,94864000,94864000,246545000,111879000.0,-28767000,25363000.0,,,297980000.0,
ARA,2017-12-31,-16100000.0,58136000.0,-39367000,472941000,622028000,729002000,9471000,-29309000.0,106974000,106974000,256061000,111453000.0,-4597000,67607000.0,,,318136000.0,
ARA,2016-12-31,-6921000.0,101666000.0,-50049000,427107000,612586000,766780000,2479000,-35959000.0,154194000,154194000,339673000,151617000.0,3146000,104145000.0,,,344848000.0,
MBOT,2019-12-31,-7247000.0,-7247000.0,-7000,0,7240000,0,0,-103000.0,-7240000,-7240000,0,4370000.0,-7247000,-7247000.0,2870000.0,,,
MBOT,2018-12-31,-7260000.0,-7260000.0,-16000,0,7244000,0,0,-16000.0,-7244000,-7244000,0,4861000.0,-7260000,-7260000.0,2383000.0,,,
MBOT,2017-12-31,-7589000.0,-7589000.0,-2322000,0,5267000,0,0,-16000.0,-5267000,-5267000,0,4201000.0,-7589000,-7589000.0,1066000.0,,,
MBOT,2016-12-31,-9663000.0,-9663000.0,-28000,0,9635000,0,0,-16000.0,-9635000,-9635000,0,8770000.0,-9663000,-9663000.0,865000.0,,,
AZRX,2019-12-31,-15177686.0,-15177686.0,-433939,0,14743747,0,0,-433939.0,-14743747,-14743747,0,6063078.0,-15177686,-15177686.0,8680669.0,,,
AZRX,2018-12-31,-13533617.0,-13533617.0,-311846,0,13221771,0,0,-101846.0,-13221771,-13221771,0,7450366.0,-13533617,-13533617.0,5771405.0,,,
AZRX,2017-12-31,-11096383.0,-11096383.0,-1015199,0,10081184,0,0,-875199.0,-10081184,-10081184,0,7685706.0,-11096383,-11096383.0,2395478.0,,,
AZRX,2016-12-31,-14591662.0,-14591662.0,-7966504,0,6625158,0,0,-5937486.0,-6625158,-6625158,0,4129053.0,-14591662,-14591662.0,2496105.0,,,
XXII,2019-12-31,-26558544.0,-26558544.0,-4854432,25818075,47536642,25832530,0,-56382.0,-21704112,-21704112,14455,12236417.0,-26558544,-26558544.0,8057147.0,,,
XXII,2018-12-31,-7966911.0,-7966911.0,16051716,25527360,50444974,26426347,0,-10939.0,-24018627,-24018627,898987,8585533.0,-7966911,-7966911.0,14989746.0,,,
XXII,2017-12-31,-13029117.0,-13029117.0,270747,17308156,29900108,16600244,0,-29104.0,-13299864,-13299864,-707912,8278487.0,-13029117,-13029117.0,3366468.0,,,
XXII,2016-12-31,-11581430.0,-11581430.0,-193583,12709678,23667826,12279979,0,-37745.0,-11387847,-11387847,-429699,7775010.0,-11581430,-11581430.0,2340958.0,,,
ABTX,2019-12-31,52959000.0,52959000.0,-9142000,0,111493000,187021000,13427000,,75528000,0,187021000,101567000.0,52959000,66386000.0,,9926000.0,,
ABTX,2018-12-31,37309000.0,37309000.0,-5785000,0,81002000,132044000,7948000,,51042000,0,132044000,74720000.0,37309000,45257000.0,,6282000.0,,
ABTX,2017-12-31,17632000.0,17632000.0,-3054000,0,66908000,96341000,8747000,,29433000,0,96341000,61079000.0,17632000,26379000.0,,5829000.0,,
ABTX,2016-12-31,22851000.0,22851000.0,-316000,0,56892000,89613000,9554000,,32721000,0,89613000,52296000.0,22851000,32405000.0,,4596000.0,,
NATH,2019-03-31,21493000.0,21493000.0,1434000,58810000,73873000,101849000,7917000,-10792000.0,27976000,27976000,43039000,13851000.0,21493000,29410000.0,,,,
NATH,2018-03-25,2630000.0,2630000.0,-22988000,62258000,77101000,104201000,1482000,-13591000.0,27100000,27100000,41943000,13491000.0,2630000,4112000.0,,,,
NATH,2017-03-26,7485000.0,7485000.0,-14476000,55020000,69976000,96256000,4319000,-14665000.0,26280000,26280000,41236000,13659000.0,7485000,11804000.0,,,,
NATH,2016-03-27,6096000.0,6096000.0,-14579000,61114000,75486000,100449000,4288000,-14630000.0,24963000,24963000,39335000,13117000.0,6096000,10384000.0,,,,
EGBN,2019-12-31,142943000.0,142943000.0,-11406000,0,128456000,336653000,53848000,,208197000,0,336653000,112462000.0,142943000,196791000.0,,15994000.0,,
EGBN,2018-12-31,152276000.0,152276000.0,-3512000,0,123199000,330919000,51932000,,207720000,0,330919000,107416000.0,152276000,204208000.0,,15783000.0,,
EGBN,2017-12-31,100232000.0,100232000.0,-2554000,0,115998000,304288000,85504000,,188290000,0,304288000,100129000.0,100232000,185736000.0,,15869000.0,,
EGBN,2016-12-31,97707000.0,97707000.0,-2718000,0,112298000,274118000,61395000,,161820000,0,274118000,97043000.0,97707000,159102000.0,,15255000.0,,
PUK,2019-12-31,783000000.0,1953000000.0,-261000000,85966000000,91188000000,93736000000,334000000,-516000000.0,2548000000,2548000000,7770000000,5019000000.0,783000000,2287000000.0,,203000000.0,192000000.0,-1161000000.0
PUK,2018-12-31,4019000000.0,2881000000.0,-335000000,27680000000,31953000000,35845000000,676000000,-547000000.0,3892000000,3892000000,8165000000,3877000000.0,4019000000,3557000000.0,,396000000.0,23000000.0,1142000000.0
PUK,2017-12-31,2389000000.0,2390000000.0,105000000,75333000000,82525000000,86390000000,1580000000,-425000000.0,3865000000,3865000000,11057000000,6208000000.0,2389000000,3970000000.0,,984000000.0,7000000.0,1142000000.0
PUK,2016-12-31,1921000000.0,1921000000.0,-416000000,62130000000,68090000000,71718000000,1291000000,-360000000.0,3628000000,3628000000,9588000000,5398000000.0,1921000000,3212000000.0,,562000000.0,1000000.0,1142000000.0
TSLX,2019-12-31,154583000.0,154583000.0,-22810000,0,70352000,251495000,3750000,-39875000.0,181143000,181143000,251495000,70352000.0,154583000,158333000.0,,,,
TSLX,2018-12-31,119017000.0,119017000.0,-67633000,0,71889000,261914000,3375000,-44462000.0,190025000,190025000,261914000,71889000.0,119017000,122392000.0,,,,
TSLX,2017-12-31,111609000.0,111609000.0,-36091000,0,60362000,210897000,2835000,-28472000.0,150535000,150535000,210897000,60362000.0,111609000,114444000.0,,,,
TSLX,2016-12-31,137007000.0,137007000.0,6566000,0,59744000,192410000,2225000,-23441000.0,132666000,132666000,192410000,59744000.0,137007000,139232000.0,,,,
LOGC,2019-12-31,-40128000.0,-40128000.0,935000,0,41041000,0,22000,-546000.0,-41041000,-41041000,0,10385000.0,-40128000,-40106000.0,30656000.0,,,
LOGC,2018-12-31,-17621000.0,-17621000.0,408000,0,17943000,0,86000,-2000.0,-17943000,-17943000,0,6864000.0,-17621000,-17535000.0,11079000.0,,,
LOGC,2017-12-31,-7735000.0,-5795000.0,121000,0,5854000,0,62000,-2000.0,-5854000,-5854000,0,2296000.0,-5795000,-5733000.0,3558000.0,,,
LOGC,2016-12-31,-3765000.0,-3428000.0,-7000,0,3403000,0,18000,-1000.0,-3403000,-3403000,0,1373000.0,-3428000,-3410000.0,2030000.0,,,
NUE,2019-12-31,1264108000.0,1370910000.0,-150030000,19888498000,20656021000,22588858000,411897000,-157358000.0,1932837000,1932837000,2700360000,732523000.0,1271143000,1782807000.0,,,433310000.0,
NUE,2018-12-31,2351423000.0,2481084000.0,-74795000,20771871000,21763093000,25067279000,748307000,-161256000.0,3304186000,3304186000,4295408000,881222000.0,2360767000,3229391000.0,,,409890000.0,
NUE,2017-12-31,1314139000.0,1380571000.0,-164219000,17682986000,18370517000,20252393000,369386000,-187282000.0,1881876000,1881876000,2569407000,687531000.0,1318688000,1749957000.0,,,345752000.0,
NUE,2016-12-31,793639000.0,900416000.0,-164187000,14182215000,14745276000,16208122000,398243000,-181179000.0,1462846000,1462846000,2025907000,563061000.0,796271000,1298659000.0,,,374843000.0,
KSU,2019-12-31,538700000.0,540800000.0,-266700000,1441300000,1810900000,2866000000,247600000,-115900000.0,1055100000,1055100000,1424700000,,538900000,788400000.0,,18900000.0,323400000.0,
KSU,2018-12-31,627200000.0,629400000.0,-81500000,1418800000,1745600000,2714000000,257500000,-110000000.0,968400000,968400000,1295200000,,627400000,886900000.0,,-19900000.0,319700000.0,
KSU,2017-12-31,961800000.0,963900000.0,-47300000,1367500000,1661300000,2582900000,-89600000,-100200000.0,921600000,921600000,1215400000,,962000000,874300000.0,,-27100000.0,316500000.0,
KSU,2016-12-31,477900000.0,479900000.0,-155800000,1258600000,1515700000,2334200000,182800000,-97700000.0,818500000,818500000,1075600000,,478100000,662700000.0,,-47900000.0,314600000.0,
BWFG,2019-12-31,18004000.0,18216000.0,-149000,0,35477000,58568000,4726000,,23091000,0,58568000,32786000.0,18216000,22942000.0,,2691000.0,,
BWFG,2018-12-31,17204000.0,17433000.0,-871000,0,34762000,56786000,3720000,,22024000,0,56786000,32530000.0,17433000,21153000.0,,2232000.0,,
BWFG,2017-12-31,13651000.0,13830000.0,-1234000,0,31289000,57652000,11299000,,26363000,0,57652000,28492000.0,13830000,25129000.0,,2797000.0,,
BWFG,2016-12-31,12112000.0,12350000.0,-811000,0,28733000,47854000,5960000,,19121000,0,47854000,26530000.0,12350000,18310000.0,,2203000.0,,
ITIC,2019-12-31,31458000.0,31458000.0,46000,76312000,143679000,183456000,8365000,,39777000,39777000,107144000,55312000.0,31458000,39823000.0,,12055000.0,,
ITIC,2018-12-31,21892000.0,21859000.0,-12000,65443000,129190000,156271000,5210000,,27081000,27081000,90828000,52365000.0,21892000,27069000.0,,11382000.0,,
ITIC,2017-12-31,25707000.0,25701000.0,23000,71954000,131356000,161604000,4570000,,30248000,30248000,89650000,48109000.0,25707000,30271000.0,,11293000.0,,
ITIC,2016-12-31,19523000.0,19515000.0,12000,63886000,110357000,138476000,8616000,,28119000,28119000,74590000,37925000.0,19523000,28131000.0,,8546000.0,,
CSII,2019-06-30,-255000.0,-255000.0,760000,47680000,248842000,248017000,190000,-1684000.0,-825000,-825000,200337000,167700000.0,-255000,-65000.0,33462000.0,,,
CSII,2018-06-30,1693000.0,1712000.0,-390000,39484000,214809000,217043000,132000,-1717000.0,2234000,2234000,177559000,148569000.0,1712000,1844000.0,26756000.0,,,
CSII,2017-06-30,-1792000.0,-1792000.0,-164000,39441000,206448000,204906000,86000,-500000.0,-1542000,-1542000,165465000,144096000.0,-1792000,-1706000.0,22911000.0,,,
CSII,2016-06-30,-56024000.0,-56024000.0,-11719000,34148000,221124000,176911000,92000,-500000.0,-44213000,-44213000,142763000,161042000.0,-56024000,-55932000.0,25934000.0,,,
BCOR,2019-12-31,48148000.0,48148000.0,-93578000,362772000,641273000,717945000,-65054000,-20287000.0,76672000,76672000,355173000,204734000.0,48148000,-16906000.0,30931000.0,,,
BCOR,2018-12-31,44657000.0,51569000.0,-16085000,263620000,492491000,560456000,311000,-16606000.0,67965000,67965000,296836000,171485000.0,50634000,51880000.0,19332000.0,,,
BCOR,2017-12-31,27039000.0,29376000.0,-47652000,245877000,458419000,509557000,-25890000,-24247000.0,51138000,51138000,263680000,155466000.0,27039000,3486000.0,19614000.0,,,
BCOR,2016-12-31,-65158000.0,-1379000.0,-44042000,222364000,414533000,455911000,-1285000,-38954000.0,41378000,41378000,233547000,136365000.0,-65158000,-2664000.0,17780000.0,,,
NBHC,2019-12-31,80271000.0,80365000.0,3932000,0,184806000,277068000,15829000,,92262000,0,277068000,165975000.0,80365000,96194000.0,,18831000.0,,
NBHC,2018-12-31,61381000.0,61451000.0,-4178000,0,185377000,263236000,12230000,,77859000,0,263236000,164102000.0,61451000,73681000.0,,21275000.0,,
NBHC,2017-12-31,14523000.0,14579000.0,-3954000,0,132523000,172339000,21283000,,39816000,0,172339000,114383000.0,14579000,35862000.0,,18140000.0,,
NBHC,2016-12-31,23008000.0,23060000.0,-4333000,0,131676000,162016000,2947000,,30340000,0,162016000,114699000.0,23060000,26007000.0,,16977000.0,,
PLT,2020-03-28,-827182000.0,-827182000.0,-820939000,958894000,1772634000,1696990000,-69401000,-92640000.0,-75644000,-75644000,738096000,595463000.0,-827182000,-896583000.0,218277000.0,,,
PLT,2019-03-30,-135561000.0,-135561000.0,-141518000,948944000,1718709000,1674535000,-50131000,-83000000.0,-44174000,-44174000,725591000,567879000.0,-135561000,-185692000.0,201886000.0,,,
PLT,2018-03-31,-869000.0,-869000.0,-25305000,417788000,731371000,856903000,101096000,-29297000.0,125532000,125532000,439115000,229390000.0,-869000,100227000.0,84193000.0,,,
PLT,2017-03-31,82599000.0,82599000.0,-27557000,439806000,751954000,881176000,19066000,-29230000.0,129222000,129222000,441370000,223830000.0,82599000,101665000.0,88318000.0,,,
BLD,2019-12-31,190995000.0,190995000.0,-35831000,1942854000,2334512000,2624121000,62783000,-37823000.0,289609000,289609000,681267000,391658000.0,190995000,253778000.0,,,,
BLD,2018-12-31,134752000.0,134752000.0,-49229000,1808097000,2154196000,2384249000,46072000,-28687000.0,230053000,230053000,576152000,346099000.0,134752000,180824000.0,,,,
BLD,2017-12-31,158133000.0,158133000.0,-38824000,1445157000,1739402000,1906266000,-30093000,-8019000.0,166864000,166864000,461109000,294245000.0,158133000,128040000.0,,,,
BLD,2016-12-31,72606000.0,72606000.0,-5331000,1342506000,1621246000,1742850000,43667000,-5608000.0,121604000,121604000,400344000,278740000.0,72606000,116273000.0,,,,
EDU,2019-05-31,238065000.0,227846000.0,11653000,1376269000,2794584000,3096491000,85714000,-1615000.0,301907000,301907000,1720222000,1418315000.0,238065000,313560000.0,,,164411000.0,
EDU,2018-05-31,296130000.0,297237000.0,93686000,1065740000,2184471000,2447430000,59408000,-1615000.0,262959000,262959000,1381690000,1118731000.0,296130000,356645000.0,,,223106000.0,
EDU,2017-05-31,274457000.0,276796000.0,65271000,749586000,1537360000,1799509000,50624000,-1615000.0,262149000,262149000,1049923000,787774000.0,274457000,327420000.0,,,39130000.0,
EDU,2016-05-31,224884000.0,225328000.0,67782000,614364000,1283271000,1478348000,37531000,-1615000.0,195077000,195077000,863984000,668907000.0,224884000,262859000.0,,,30090000.0,
BANF,2019-12-31,134879000.0,134879000.0,-3724000,0,237577000,410863000,34683000,,173286000,0,410863000,192748000.0,134879000,169562000.0,,44829000.0,,
BANF,2018-12-31,125814000.0,125814000.0,-5675000,0,216446000,381873000,33938000,,165427000,0,381873000,176559000.0,125814000,159752000.0,,39887000.0,,
BANF,2017-12-31,86439000.0,86439000.0,-4870000,0,195522000,336697000,49866000,,141175000,0,336697000,159386000.0,86439000,136305000.0,,36136000.0,,
BANF,2016-12-31,70674000.0,70674000.0,-4426000,0,186978000,299341000,37263000,,112363000,0,299341000,154121000.0,70674000,107937000.0,,32857000.0,,
OMI,2019-12-31,-62371000.0,-22584000.0,-128997000,8082448000,9110661000,9210939000,-6135000,-100113000.0,100278000,100278000,1128491000,1025988000.0,-62371000,-28719000.0,,2225000.0,,-39787000.0
OMI,2018-12-31,-437012000.0,-394665000.0,-544029000,8347666000,9301257000,9418192000,-32429000,-70983000.0,116935000,116935000,1070526000,956630000.0,-437012000,-427094000.0,,-3039000.0,,-42347000.0
OMI,2017-12-31,71733000.0,72793000.0,-92480000,8146409000,9168317000,9318275000,-15315000,-31773000.0,149958000,149958000,1171866000,1016978000.0,72793000,57478000.0,,4930000.0,,-42347000.0
OMI,2016-12-31,107640000.0,108787000.0,-51732000,8536121000,9499157000,9723431000,63755000,-27057000.0,224274000,224274000,1187310000,970424000.0,108787000,172542000.0,,-7388000.0,,-42347000.0
MDLA,2020-01-31,-112333000.0,-112333000.0,3129000,145189000,517393000,402463000,532000,,-114930000,-114930000,257274000,276226000.0,-112333000,-111801000.0,95978000.0,119000.0,,
MDLA,2019-01-31,-82234000.0,-82234000.0,-4511000,115901000,389586000,313642000,1779000,,-75944000,-75944000,197741000,187413000.0,-82234000,-80455000.0,86272000.0,119000.0,,
MDLA,2018-01-31,-70361000.0,-70361000.0,2412000,95777000,332330000,261195000,1638000,,-71135000,-71135000,165418000,150185000.0,-70361000,-68723000.0,86368000.0,119000.0,,
CAI,2019-12-31,22182000.0,51021000.0,-79471000,233559000,281856000,416540000,4192000,-79158000.0,134684000,134684000,182981000,52699000.0,31011000,55213000.0,,-4402000.0,,-20010000.0
CAI,2018-12-31,73472000.0,79105000.0,-61450000,214932000,251286000,396395000,4554000,-62573000.0,145109000,145109000,181463000,46240000.0,78596000,83659000.0,,-9886000.0,,-509000.0
CAI,2017-12-31,72060000.0,62565000.0,-42580000,183211000,217466000,315917000,-6694000,-41815000.0,98451000,98451000,132706000,39588000.0,72060000,55871000.0,,-5333000.0,,9495000.0
CAI,2016-12-31,5997000.0,6034000.0,-44119000,190719000,240357000,294354000,3844000,-42754000.0,53997000,53997000,103635000,36967000.0,5997000,9878000.0,,12671000.0,,9495000.0
SMLP,2019-12-31,-398403000.0,-369833000.0,-491817000,161025000,321590000,444748000,1174000,-74429000.0,123158000,123158000,283723000,49139000.0,-369845000,-368659000.0,,1220000.0,27450000.0,
SMLP,2018-12-31,4635000.0,42351000.0,-99753000,204539000,366071000,508208000,33000,-60535000.0,142137000,142137000,303669000,52877000.0,33135000,42384000.0,,1555000.0,25250000.0,
SMLP,2017-12-31,72648000.0,86050000.0,-81075000,151119000,322830000,490296000,341000,-68131000.0,167466000,167466000,339177000,54681000.0,76211000,86391000.0,,1555000.0,38733000.0,
SMLP,2016-12-31,-48207000.0,-38187000.0,-153070000,122755000,287826000,402784000,75000,-63810000.0,114958000,114958000,280029000,52410000.0,-45462000,-38112000.0,,422000.0,40541000.0,
MIDD,2019-12-28,352240000.0,352240000.0,-75922000,1855949000,2420905000,2959446000,110379000,-82609000.0,538541000,538541000,1103497000,564956000.0,352240000,462619000.0,,,,
MIDD,2018-12-29,317152000.0,317152000.0,-79899000,1718791000,2219519000,2722931000,106361000,-58670000.0,503412000,503412000,1004140000,500728000.0,317152000,423513000.0,,,,
MIDD,2017-12-30,298128000.0,298128000.0,-92721000,1422801000,1859292000,2335542000,85401000,-25983000.0,476250000,476250000,912741000,436491000.0,298128000,383529000.0,,,,
MIDD,2016-12-31,284216000.0,284216000.0,-35444000,1366672000,1811103000,2267852000,137089000,-23880000.0,456749000,456749000,901180000,444431000.0,284216000,421305000.0,,,,
POOL,2019-12-31,261575000.0,261575000.0,-23510000,2274592000,2858271000,3199517000,56161000,-22472000.0,341246000,341246000,924925000,583679000.0,261575000,317736000.0,,,,
POOL,2018-12-31,234461000.0,234461000.0,-20654000,2127924000,2684208000,2998097000,58774000,-20296000.0,313889000,313889000,870173000,556284000.0,234461000,293235000.0,,,,
POOL,2017-12-31,191633000.0,191339000.0,-15050000,1982899000,2503817000,2788188000,77982000,-15389000.0,284371000,284371000,805289000,520918000.0,191633000,269321000.0,,,,
POOL,2016-12-31,148955000.0,148603000.0,-14938000,1829716000,2314944000,2570803000,92931000,-13781000.0,255859000,255859000,741087000,485228000.0,148955000,241534000.0,,,,
AFB,2019-10-31,54189929.0,54519656.0,32468697,0,4131882,26182841,0,-6698225.0,22050959,22050959,26182841,4131882.0,54519656,54519656.0,,,,
AFB,2018-10-31,-14855358.0,-12884685.0,-34743969,0,4142060,26001344,0,-4319324.0,21859284,21859284,26001344,4142060.0,-12884685,-12884685.0,,,,
AFB,2017-10-31,6248875.0,7393881.0,-14925340,0,4142359,26461580,0,-3351759.0,22319221,22319221,26461580,4142359.0,7393881,7393881.0,,,,
AFB,2016-10-31,34779750.0,35360790.0,12115918,0,4280519,27525391,0,-2755413.0,23244872,23244872,27525391,4280519.0,35360790,35360790.0,,,,
LIQT,2019-12-31,39616.0,39616.0,105214,25475170,33000334,32637484,-297252,-203603.0,-362850,-362850,7162314,6775915.0,39616,-257636.0,749249.0,,,
LIQT,2018-12-31,-3814528.0,-3814528.0,305550,11165944,16717596,12232088,-365430,-71781.0,-4485508,-4485508,1066144,4890638.0,-3814528,-4179958.0,661014.0,,,
LIQT,2017-12-31,-4460353.0,-4460353.0,-170908,11136426,15950432,11343177,-317810,-45888.0,-4607255,-4607255,206751,4277158.0,-4460353,-4778163.0,536848.0,,,
LIQT,2016-12-31,-16418634.0,-16418634.0,-7407361,12473965,19697990,13906394,3219677,-38945.0,-5791596,-5791596,1432429,6162084.0,-16418634,-13198957.0,626147.0,,,
SENS,2019-12-31,-115549000.0,-115549000.0,15113000,40749000,151963000,21301000,0,-15143000.0,-130662000,-130662000,-19448000,72784000.0,-115549000,-115549000.0,38430000.0,,,
SENS,2018-12-31,-93971000.0,-93971000.0,-6393000,27059000,106491000,18913000,0,-8282000.0,-87578000,-87578000,-8146000,47569000.0,-93971000,-93971000.0,31863000.0,,,
SENS,2017-12-31,-59101000.0,-59101000.0,-2788000,9758000,62686000,6373000,0,-3099000.0,-56313000,-56313000,-3385000,22193000.0,-59101000,-59101000.0,30735000.0,,,
SENS,2016-12-31,-43930000.0,-43930000.0,-1497000,660000,42765000,332000,0,-1602000.0,-42433000,-42433000,-328000,15758000.0,-43930000,-43930000.0,26347000.0,,,
FSBW,2019-12-31,22644000.0,22717000.0,-2867000,0,59492000,90489000,5413000,,30997000,0,90489000,46532000.0,22717000,28130000.0,,12960000.0,,
FSBW,2018-12-31,24347000.0,24347000.0,5084000,0,46579000,70065000,4223000,,23486000,0,70065000,37069000.0,24347000,28570000.0,,9510000.0,,
FSBW,2017-12-31,14085000.0,14085000.0,127000,0,43058000,63510000,6494000,,20452000,0,63510000,34201000.0,14085000,20579000.0,,8857000.0,,
FSBW,2016-12-31,10499000.0,10499000.0,-1245000,0,37678000,55026000,5604000,,17348000,0,55026000,29173000.0,10499000,16103000.0,,8505000.0,,
TMBR,2019-12-31,-3644734.0,-3644734.0,-156,3382664,3969223,324646,0,,-3644578,-3644578,-3058019,586559.0,-3644734,-3644734.0,,,,
FWP,2019-12-31,-4221000.0,-4221000.0,1062000,0,5283000,0,0,,-5283000,-5283000,0,4234000.0,-4221000,-4221000.0,1049000.0,,,
FWP,2018-12-31,-8722000.0,-8722000.0,2904000,0,11830000,0,-204000,,-11830000,-11830000,0,9082000.0,-8722000,-8926000.0,2748000.0,,,
FWP,2017-12-31,917093000.0,917093000.0,1240824000,25000000,56336000,0,267395000,,-56336000,-56336000,-25000000,18748000.0,917093000,1184488000.0,12588000.0,,,
FWP,2016-12-31,-33336000.0,-33336000.0,580000,0,55119000,0,-21203000,,-55119000,-55119000,0,14067000.0,-33336000,-54539000.0,41052000.0,,,
ALEC,2019-12-31,-105385000.0,-105385000.0,7861000,100528000,134465000,21219000,0,,-113246000,-113246000,-79309000,33937000.0,-105385000,-105385000.0,,,,
ALEC,2018-12-31,-52248000.0,-52248000.0,5040000,73031000,84965000,27677000,0,,-57288000,-57288000,-45354000,11934000.0,-52248000,-52248000.0,,,,
ALEC,2017-12-31,-32480000.0,-32480000.0,199000,29911000,36414000,3735000,0,,-32679000,-32679000,-26176000,6503000.0,-32480000,-32480000.0,,,,
ALEC,2016-12-31,-15110000.0,-15110000.0,22000,13674000,15548000,416000,0,,-15132000,-15132000,-13258000,1874000.0,-15110000,-15110000.0,,,,
DT,2020-03-31,-418024000.0,-418024000.0,-47686000,112482000,716650000,545803000,199491000,-42697000.0,-170847000,-170847000,433321000,428158000.0,-418024000,-218533000.0,119281000.0,,,
DT,2019-03-31,-116194000.0,-116194000.0,-68967000,88463000,501910000,430966000,-23717000,-69845000.0,-70944000,-70944000,342503000,270664000.0,-116194000,-139911000.0,76759000.0,,,
DT,2018-03-31,9222000.0,9222000.0,-35206000,78586000,414616000,398047000,-60997000,-35220000.0,-16569000,-16569000,319461000,209264000.0,9222000,-51775000.0,58320000.0,,,
DT,2017-03-31,796000.0,796000.0,-36563000,82911000,386207000,406377000,-17189000,-25481000.0,20170000,20170000,323466000,179203000.0,796000,-16393000.0,52885000.0,,,
ALRS,2019-12-31,28893000.0,29540000.0,-4081000,0,138456000,181433000,9356000,,42977000,0,181433000,112832000.0,29540000,38896000.0,,25624000.0,,
ALRS,2018-12-31,25866000.0,25866000.0,-3858000,0,132467000,169363000,7172000,,36896000,0,169363000,108376000.0,25866000,33038000.0,,24091000.0,,
ALRS,2017-12-31,15001000.0,15001000.0,-7693000,0,127227000,167435000,17514000,,40208000,0,167435000,103912000.0,15001000,32515000.0,,23315000.0,,
ALRS,2016-12-31,14011000.0,14036000.0,-7005000,0,135687000,163869000,7141000,,28182000,0,163869000,126682000.0,14036000,21177000.0,,9005000.0,,
UNH,2019-12-31,13839000000.0,14239000000.0,-1704000000,184557000000,222470000000,242155000000,3742000000,-1704000000.0,19685000000,19685000000,57598000000,35193000000.0,13839000000,17981000000.0,,,4546000000.0,
