stock,endDate,capitalExpenditures,changeToNetincome,otherCashflowsFromFinancingActivities,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments
EDU,2018-05-31,-214255000.0,40330000.0,3512000.0,767000.0,-6316000.0,,-15473000.0,79030000.0,781127000.0,42992000.0,-7241000.0,342095000.0,296130000,7602000.0,-74881000.0,96457000.0,-407143000.0,348111000,1000.0,-196344000.0
EDU,2017-05-31,-105736000.0,24564000.0,8807000.0,-75000.0,-5376000.0,,-1810000.0,55389000.0,622694000.0,-23546000.0,-4557000.0,-68460000.0,274457000,13979000.0,4792000.0,96457000.0,-672400000.0,241227000,542000.0,-566753000.0
EDU,2016-05-31,-64401000.0,19563000.0,65995000.0,-187000.0,-6264000.0,,-3289000.0,48515000.0,524313000.0,-35749000.0,-6419000.0,177911000.0,224884000,45511000.0,-916000.0,96457000.0,-309737000.0,184413000,2176000.0,-246373000.0
BANF,2019-12-31,-27054000.0,7220000.0,274218000.0,,,-39805000.0,-22158000.0,15989000.0,158958000.0,,-1601000.0,444026000.0,134879000,-17000.0,234721000.0,-575000.0,50347000.0,0,2484000.0,331940000.0
BANF,2018-12-31,-51863000.0,2861000.0,-139510000.0,,,-30265000.0,10794000.0,13546000.0,140010000.0,,-7914000.0,-333620000.0,125814000,1179000.0,-179831000.0,-4380000.0,-293799000.0,0,2238000.0,-308332000.0
BANF,2017-12-31,-18007000.0,14437000.0,166988000.0,,,-24783000.0,-1186000.0,11791000.0,109749000.0,,-7914000.0,-92586000.0,86439000,366000.0,147449000.0,400000.0,-349784000.0,0,4844000.0,771000.0
BANF,2016-12-31,-10835000.0,8912000.0,274699000.0,,,-22770000.0,8819000.0,12383000.0,90541000.0,,-5523000.0,252284000.0,70674000,69000.0,259760000.0,400000.0,-98017000.0,0,13354000.0,80593000.0
OMI,2019-12-31,-42419000.0,71093000.0,-7179000.0,63526000.0,127921000.0,-5226000.0,,87446000.0,166085000.0,-2671000.0,,-18680000.0,-62371000,104801000.0,-130197000.0,-117792000.0,-51897000.0,-235631000,,
OMI,2018-12-31,-44873000.0,454972000.0,-35729000.0,11106000.0,-65451000.0,-48200000.0,,73899000.0,115589000.0,-1986000.0,,-1155000.0,-437012000,-23604000.0,701071000.0,785000000.0,-815829000.0,92179000,,
OMI,2017-12-31,-34613000.0,-29104000.0,-10518000.0,-100010000.0,-57032000.0,-63151000.0,,48743000.0,56774000.0,6097000.0,,-80966000.0,72793000,-33263000.0,272806000.0,351475000.0,-416643000.0,143947000,,
OMI,2016-12-31,-20302000.0,20299000.0,-8294000.0,-25244000.0,22589000.0,-63382000.0,,42493000.0,187695000.0,4223000.0,,24468000.0,108787000,-37559000.0,-142704000.0,351475000.0,-24746000.0,43430000,,
MDLA,2020-01-31,-22009000.0,94975000.0,,-43268000.0,,,-1500000.0,13759000.0,-1594000.0,-35000.0,-17907000.0,181990000.0,-112333000,-27455000.0,399685000.0,-5837000.0,-216066000.0,51846000,353581000.0,-116025000.0
MDLA,2019-01-31,-11259000.0,30839000.0,,-16383000.0,,,-1500000.0,13456000.0,-15197000.0,-204000.0,-17907000.0,2177000.0,-82234000,-18288000.0,11385000.0,-708000.0,6193000.0,43812000,12093000.0,17452000.0
MDLA,2018-01-31,-38542000.0,18956000.0,,-12432000.0,,,-1500000.0,10995000.0,16410000.0,267000.0,-17907000.0,13924000.0,-70361000,17766000.0,6043000.0,-100000.0,-8796000.0,40071000,6143000.0,29746000.0
CAI,2019-12-31,-237450000.0,31308000.0,-139988000.0,3864000.0,,-8828000.0,123424000.0,2010000.0,253997000.0,183000.0,-34118000.0,-2744000.0,31011000,63443000.0,-108479000.0,73170000.0,-148445000.0,6523000,1285000.0,
CAI,2018-12-31,-675165000.0,8735000.0,-8634000.0,-18365000.0,,-3260000.0,-31530000.0,2184000.0,179770000.0,-3000.0,-40869000.0,28774000.0,78596000,-1131000.0,512350000.0,461656000.0,-663343000.0,-1008000,103457000.0,
CAI,2017-12-31,-366662000.0,-7847000.0,41195000.0,-4248000.0,,-3260000.0,-69150000.0,2309000.0,155192000.0,220000.0,-40869000.0,-5117000.0,72060000,738000.0,251222000.0,181854000.0,-411751000.0,-10171000,28173000.0,
CAI,2016-12-31,-185174000.0,17362000.0,-1515000.0,-1175000.0,,-3260000.0,-69150000.0,1802000.0,129256000.0,-674000.0,-9176000.0,-7439000.0,5997000,-2039000.0,45579000.0,56270000.0,-181600000.0,1457000,28173000.0,
SMLP,2019-12-31,-182291000.0,459620000.0,-159780000.0,-4334000.0,,-142084000.0,313000.0,111426000.0,182337000.0,,,27995000.0,-369845000,-20529000.0,-63472000.0,211000000.0,-90870000.0,1588000,,-11003000.0
SMLP,2018-12-31,-200586000.0,91864000.0,-16668000.0,-21535000.0,,-197067000.0,-284000.0,106767000.0,227929000.0,,,2915000.0,33135000,7977000.0,-8735000.0,205000000.0,-216279000.0,5436000,,-4924000.0
SMLP,2017-12-31,-124215000.0,71179000.0,-31094000.0,25063000.0,,-169437000.0,-458000.0,114872000.0,237832000.0,,,-5998000.0,76211000,-9949000.0,-95147000.0,-204932000.0,-148683000.0,-44004000,,-25513000.0
SMLP,2016-12-31,-502150000.0,148306000.0,4281000.0,-7783000.0,,-156248000.0,-394000.0,112661000.0,230495000.0,,,-14365000.0,-45462000,5494000.0,289266000.0,316000000.0,-534126000.0,13303000,,-31582000.0
MIDD,2019-12-28,-46609000.0,1488000.0,-1648000.0,-27748000.0,-28288000.0,,,103428000.0,377425000.0,-1514000.0,-6144000.0,22799000.0,352240000,5701000.0,-25445000.0,-17653000.0,-327667000.0,-29396000,,
MIDD,2018-12-29,-36040000.0,-8708000.0,-1609000.0,-25347000.0,-28378000.0,,,97238000.0,368914000.0,-3573000.0,-6144000.0,-17953000.0,317152000,3346000.0,856129000.0,857738000.0,-1239423000.0,13611000,,
MIDD,2017-12-30,-54493000.0,9089000.0,-1609000.0,26180000.0,-9744000.0,,,69774000.0,304455000.0,6344000.0,-239838000.0,21169000.0,298128000,-67341000.0,55836000.0,295674000.0,-345466000.0,-21631000,,
MIDD,2016-12-31,-24817000.0,49268000.0,-7614000.0,-33908000.0,-22246000.0,,,58234000.0,294110000.0,-4045000.0,-4418000.0,12957000.0,284216000,-33724000.0,-41370000.0,-29338000.0,-235738000.0,-7730000,,
